City,lat,lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
0,Albany,42.6,-73.97,73.0,45,16,7.47,US,1600898722
1,Rikitea,-23.12,-134.97,72.79,73,1,11.99,PF,1600898722
2,Malbork,54.04,19.03,64.4,63,50,7.63,PL,1600898723
3,Sivaki,52.63,126.75,49.78,96,100,9.8,RU,1600898723
4,Bousso,10.48,16.71,73.76,89,100,4.97,TD,1600898723
5,Peleduy,59.63,112.74,42.26,87,0,2.86,RU,1600898723
6,Gorontalo,0.54,123.06,74.55,87,93,2.55,ID,1600898723
7,Qaqortoq,60.72,-46.03,39.2,41,100,4.7,GL,1600898724
8,Kapaa,22.08,-159.32,86.0,66,20,13.87,US,1600898629
9,Zyryanka,65.75,150.85,41.02,83,69,5.91,RU,1600898724
10,Filingué,14.35,3.32,92.88,34,5,8.34,NE,1600898724
11,Ushuaia,-54.8,-68.3,51.8,50,40,17.22,AR,1600898494
12,Barrow,71.29,-156.79,32.0,89,90,4.97,US,1600898724
13,Mataura,-46.19,168.86,57.0,70,70,5.01,NZ,1600898584
14,Lagoa,39.05,-27.98,65.28,71,100,19.15,PT,1600898725
15,Hermanus,-34.42,19.23,55.0,88,0,5.99,ZA,1600898725
16,Ponta do Sol,32.67,-17.1,75.2,73,20,3.36,PT,1600898725
17,Guilin,25.28,110.29,68.0,94,90,5.5,CN,1600898725
18,Puerto Ayora,-0.74,-90.35,69.01,85,100,11.01,EC,1600898725
19,Butaritari,3.07,172.79,82.8,72,100,15.41,KI,1600898725
20,Camalú,30.85,-116.07,89.01,20,0,8.01,MX,1600898726
21,Yellowknife,62.46,-114.35,55.0,71,75,9.17,CA,1600898726
22,Vaini,-21.2,-175.2,75.2,78,20,11.41,TO,1600898726
23,Saint-Philippe,-21.36,55.77,66.2,55,0,6.93,RE,1600898726
24,Goderich,43.75,-81.72,73.0,82,0,1.83,CA,1600898436
25,Carnarvon,-24.87,113.63,64.4,88,75,4.7,AU,1600898726
26,Liepāja,56.54,21.04,60.8,87,71,5.82,LV,1600898726
27,Hervey Bay,-25.3,152.85,69.01,88,99,1.01,AU,1600898727
28,Hilo,19.73,-155.09,78.8,83,90,3.36,US,1600898727
29,Aztec,36.82,-107.99,84.2,16,1,20.8,US,1600898727
30,Katsuura,35.13,140.3,68.0,90,100,1.99,JP,1600898727
31,Cape Town,-33.93,18.42,57.99,93,75,12.75,ZA,1600898519
32,Punta Arenas,-53.15,-70.92,53.6,50,75,38.03,CL,1600898727
33,Castro,-24.79,-50.01,58.35,86,24,7.43,BR,1600898457
34,Faya,18.39,42.45,69.8,20,88,5.82,SA,1600898728
35,Nastola,60.95,25.93,55.4,93,0,5.82,FI,1600898728
36,Ambilobe,-13.2,49.05,65.97,72,51,4.32,MG,1600898728
37,Guerrero Negro,27.98,-114.06,87.96,35,0,14.92,MX,1600898728
38,Cabo San Lucas,22.89,-109.91,89.6,59,20,19.46,MX,1600898729
39,Avarua,-21.21,-159.78,77.0,88,100,11.41,CK,1600898729
40,Khovd,48.01,91.64,47.82,51,26,4.83,MN,1600898729
41,Makarov,48.63,142.8,53.29,76,48,4.41,RU,1600898729
42,New Norfolk,-42.78,147.06,46.0,75,70,1.01,AU,1600898729
43,Saint George,37.1,-113.58,96.01,14,1,8.05,US,1600898730
44,Flin Flon,54.77,-101.86,57.2,54,40,6.93,CA,1600898730
45,Bluff,-46.6,168.33,57.0,70,88,5.01,NZ,1600898560
46,Saint-Pierre,-21.34,55.48,66.2,55,0,6.93,RE,1600898579
47,Longyearbyen,78.22,15.64,30.2,92,75,6.93,SJ,1600898504
48,Port Elizabeth,-33.92,25.57,53.6,93,0,4.7,ZA,1600898681
49,Mar del Plata,-38.0,-57.56,55.4,71,50,9.17,AR,1600898679
50,Ubari,26.59,12.78,75.7,25,0,4.07,LY,1600898730
51,Dingle,11.0,122.67,75.81,88,86,2.21,PH,1600898731
52,Karaj,35.84,51.01,75.2,37,0,6.93,IR,1600898731
53,Sveti Nikole,41.87,21.95,62.6,82,17,2.24,MK,1600898731
54,Lüderitz,-26.65,15.16,59.76,64,0,3.33,NA,1600898731
55,Lompoc,34.64,-120.46,78.01,50,1,12.75,US,1600898670
56,Muravlenko,63.79,74.52,39.4,87,88,8.46,RU,1600898731
57,Blagoyevo,63.37,47.92,38.25,92,26,3.62,RU,1600898732
58,Bilma,18.69,12.92,90.27,15,0,6.11,NE,1600898732
